lon,lat,geometry,index_right,OBJECTID,GP_RTP,GP_REX,GP_RAV,GP_RRG,GP_RCY,GP_RSE,GP_RSI,GP_RSY,Shape_Length,gp_gripreg,dist_meters
-3.25,30.25,POINT (-301519.6257840516 3672637.317994114),1489114.0,24498497.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,0.8064670736889902,3.0,49340.43592920709
-3.25,30.5,POINT (-301519.6257840516 3700281.733623195),1489114.0,24498497.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,0.8064670736889902,3.0,33486.365753577345
-3.25,30.75,POINT (-301519.6257840516 3727856.9498209287),1489114.0,24498497.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,0.8064670736889902,3.0,21267.611994376355
-3.25,31.0,POINT (-301519.6257840516 3755362.4412754816),1489114.0,24498497.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,0.8064670736889902,3.0,522.1645776564294
-3.25,31.25,POINT (-301519.6257840516 3782797.6837893697),1489114.0,24498497.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,0.8064670736889902,3.0,25737.954167933953
-3.25,31.5,POINT (-301519.6257840516 3810162.1542895245),1489114.0,24498497.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,0.8064670736889902,3.0,52483.73348927975
-3.25,31.75,POINT (-301519.6257840516 3837455.3308373215),435783.0,23445166.0,3.0,1.0,1.0,7.0,504.0,2.0,39.0,1997.0,5.823360759752182,3.0,41391.67182162404
-3.25,32.0,POINT (-301519.6257840516 3864676.6926386477),435783.0,23445166.0,3.0,1.0,1.0,7.0,504.0,2.0,39.0,1997.0,5.823360759752182,3.0,16355.381531237352
-3.0,29.25,POINT (-277398.0557213275 3561378.205842858),,,,,,,,,,,,,
-3.0,29.5,POINT (-277398.0557213275 3589294.144142208),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,93080.84083765328
-3.0,29.75,POINT (-277398.0557213275 3617142.9952009427),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,73394.8256497434
-3.0,30.0,POINT (-277398.0557213275 3644924.229349858),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,59288.48072775081
-3.0,30.25,POINT (-277398.0557213275 3672637.317994114),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,44607.39034549762
-3.0,30.5,POINT (-277398.0557213275 3700281.733623195),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,29496.80638684182
-3.0,30.75,POINT (-277398.0557213275 3727856.9498209287),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,12541.347658196997
-3.0,31.0,POINT (-277398.0557213275 3755362.4412754816),1489116.0,24498499.0,2.0,1.0,2.0,7.0,12.0,1.0,39.0,1997.0,7.889749460920496,3.0,3498.3086280799084
