lon,lat,cap_mid,annual_cf,t2m_mean,t2m_max,t2m_min
-5.25,26,28.382,0.25,27.55215565,47.35616697,3.254742703
-5.25,26.25,28.534,0.249,27.44436697,47.44980489,2.979935767
-5.25,26.5,27.805,0.248,27.3764221,47.3948435,3.254742703
-5.25,26.75,27.375,0.248,27.25543581,47.32359726,3.20995935
-5.25,27,27.54,0.249,26.84535046,47.20756766,2.065948253
-5.25,27.25,25.016,0.25,26.37715716,47.41519957,1.092928137
-5.25,27.5,23.543,0.252,25.92079374,46.99790015,0.917865941
-5.25,27.75,25.493,0.254,25.58090902,46.57042269,0.980969756
-5.25,28,25.054,0.254,25.46550003,46.3973961,0.604382473
-5.25,28.25,26.669,0.253,25.79382438,46.50324766,0.779444669
-5.25,28.5,26.378,0.252,25.97948081,46.50121205,1.324987328
-5.25,28.75,26.325,0.25,26.11331131,46.19383541,1.410482819
-5.25,29,26.262,0.25,25.9623274,45.97398986,1.406411605
-5.25,29.25,25.762,0.25,25.78330754,45.76839356,1.614043513
-5.25,29.5,25.698,0.25,25.75348325,45.93531333,1.746357964
-5.25,29.75,25.53,0.249,25.70915156,45.97806107,2.77841068
-5.25,30,23.961,0.248,25.45659123,45.61572304,3.743288368
-5.25,30.25,4.848,0.247,24.84465405,44.901225,3.610973917
-5.25,30.5,0,0.245,24.55072228,44.45542708,1.691396576
-5.25,30.75,0,0.243,24.68768984,44.59791957,1.809461779
-5.25,31,0,0.244,22.68872128,42.02898362,0.987076577
-5.25,31.25,0,0.242,21.48796486,40.77301414,-0.228180764
-5.25,31.75,0,0.245,18.01317478,37.12724211,-1.569645735
-5,18.25,35.606,0.262,27.85708234,44.901225,6.609422933
-5,18.5,35.453,0.261,27.88076411,45.04575309,6.304081893
-5,18.75,35.068,0.261,27.92041233,45.18010315,6.212479581
-5,19,35.015,0.262,27.87815448,45.13328419,6.236906864
-5,19.25,34.963,0.262,27.82136026,45.20656604,6.02723935
-5,19.5,34.437,0.262,27.80297537,45.63200789,5.406379234
-5,19.75,34.384,0.262,27.78474529,46.04320049,5.436913338
-5,20,34.329,0.261,27.81803525,46.35668396,5.705613454
-5,20.25,33.805,0.261,27.85562863,46.52360373,5.919352182
-5,20.5,33.75,0.26,28.05355734,46.80451749,6.316295534
-5,20.75,33.695,0.258,28.49583257,46.91240465,6.670491141
-5,21,33.172,0.257,28.99641552,46.97957968,7.04300721
-5,21.25,33.116,0.256,29.28538411,47.20349645,6.918835187
-5,21.5,33.059,0.254,29.48583415,47.36838061,6.843517731
-5,21.75,32.537,0.255,29.2158597,47.10578731,6.320366748
-5,22,32.48,0.254,29.00788412,47.13835702,5.738183165
-5,22.25,32.239,0.254,28.9527385,47.41519957,4.850658541
-5,22.5,31.359,0.254,28.94708543,47.56379887,4.640991026
-5,22.75,30.72,0.254,28.85557141,47.62283147,4.695952414
-5,23,31.782,0.254,28.6948975,47.67779286,4.561602356
-5,23.25,31.263,0.254,28.4292698,47.52105113,4.398753801
-5,23.5,31.042,0.255,28.12709549,47.37855864,4.180943859
-5,23.75,30.641,0.256,27.78190346,47.13428581,4.148374148
-5,24,30.366,0.256,27.5709725,46.82080234,4.461857616
-5,24.25,24.159,0.255,27.7826733,47.17906916,4.164659003
-5,24.5,23.51,0.251,28.45083185,48.27829691,3.897994495
-5,24.75,29.34,0.248,28.82443107,48.73223725,3.763644437
-5,25,29.883,0.249,28.64287922,48.43503864,4.178908252
-5,25.25,29.225,0.249,28.24746048,47.90578084,4.211477963
-5,25.5,29.165,0.25,27.80031824,47.49865945,4.264403743
-5,25.75,29.295,0.25,27.50369179,47.33173968,3.68832698
-5,26,28.709,0.25,27.58701518,47.25642223,3.201816923
-5,26.25,28.052,0.249,27.48100001,47.40502153,3.022683512
-5,26.5,27.474,0.248,27.36926735,47.32359726,3.120392645
-5,26.75,25.902,0.248,27.26933328,47.20349645,3.189603281
-5,27,26.937,0.248,27.05896104,47.01011379,2.389609755
-5,27.25,26.236,0.25,26.59029244,47.38466546,1.412518426
-5,27.5,21.528,0.252,26.039185,47.50273067,0.836441663
-5,27.75,23.595,0.253,25.70248486,46.97347286,0.919901548
-5,28,24.442,0.253,25.61558108,46.86151448,0.643059004
-5,28.25,26.114,0.253,25.712395,46.8676213,0.384536924
-5,28.5,26.157,0.251,26.04477712,46.66609622,1.070536461
-5,28.75,26.325,0.25,26.1412045,46.3973961,1.125497848
-5,29,26.262,0.25,25.99590101,46.14090963,1.345343397
-5,29.25,25.762,0.25,25.80142129,45.81317691,1.384019929
-5,29.5,25.654,0.25,25.64236933,45.74396627,2.084268715
-5,29.75,25.53,0.25,25.50533271,45.75617991,2.607419697
-5,30,25.116,0.249,25.30543259,45.59943818,3.110214611
-5,30.25,18.985,0.249,24.94653219,45.32463124,2.434393108
-5,30.5,0.046,0.246,24.55496405,44.69766431,0.934150796
-5,30.75,0,0.243,25.11776511,45.33073807,1.213028946
-5,31,0,0.242,24.14572525,43.99741552,2.462891605
-5,31.25,0,0.241,22.89129036,42.46663911,0.995219004
-5,31.5,0,0.242,21.81283952,41.56893645,0.109729987
-5,31.75,0,0.244,19.76571463,39.36030292,-0.596625619
-4.75,18,36.172,0.261,28.04290702,44.87679772,7.582443048
-4.75,18.25,35.628,0.261,27.93478973,44.86661968,6.896443511
-4.75,18.5,35.572,0.261,27.90731738,44.89715379,6.629779002
-4.75,18.75,35.068,0.261,27.93040729,45.03150385,6.367185708
-4.75,19,35.015,0.261,27.86837944,45.00300535,6.194159118
-4.75,19.25,34.963,0.262,27.81340508,45.08239402,6.23283565
-4.75,19.5,34.437,0.262,27.83766389,45.59536697,5.457269407
-4.75,19.75,34.384,0.262,27.83911458,46.06762778,5.371773916
-4.75,20,34.329,0.261,27.86418494,46.38721806,5.565156575
-4.75,20.25,33.805,0.26,27.93995893,46.65591818,5.9539575
-4.75,20.5,33.75,0.259,28.14741356,46.8961198,6.357007673
-4.75,20.75,33.695,0.258,28.5533869,46.94700997,6.723416922
-4.75,21,33.172,0.257,28.98163142,47.03046986,7.004330679
-4.75,21.25,33.116,0.256,29.20005663,47.16889113,6.81094802
-4.75,21.5,33.059,0.254,29.45147587,47.3968791,6.768200274
-4.75,21.75,32.537,0.254,29.26037887,47.12003656,6.261334147
-4.75,22,32.472,0.254,29.08003693,47.09560928,5.57533461
-4.75,22.25,32.199,0.253,29.03878553,47.30120558,4.854729755
-4.75,22.5,31.438,0.253,29.00334711,47.41519957,4.677631951
-4.75,22.75,30.398,0.254,28.87804952,47.4538761,4.769234263
-4.75,23,31.542,0.254,28.69466808,47.45184049,4.695952414
-4.75,23.25,31.244,0.254,28.45977216,47.38059425,4.325471951
-4.75,23.5,31.166,0.254,28.18391312,47.35413136,4.034380159
-4.75,23.75,30.626,0.255,27.89011923,47.20349645,4.073056691
-4.75,24,30.476,0.256,27.55252203,46.95922361,4.219620391
-4.75,24.25,25.148,0.256,27.64388333,47.21163887,4.079163512
-4.75,24.5,23.069,0.252,28.21283431,47.96481344,3.824712645
